#
#Allele symbols are usually of the form xxx<yy>, where the <> enclose the part of the symbol that is superscripted.
#
#Transgene insertions, with symbols of the form Tg(aaa)##bbb, are included in this listing, but notably have no corresponding gene marker.
#
#For details of nomenclature rules, see http://www.informatics.jax.org/mgihome/nomen/index.shtml
#
MGI:3528897	6330416L11Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (knock-out)		MGI:1917963	6330416L11Rik	NM_027518		
MGI:3578174	7a5ex	7a5 exencephaly	Chemically induced (ENU)	15755804	MGI:3578164	7a5ex			MP:0003631,MP:0005374
MGI:3578177	7a6ex	7a6 exencephaly	Chemically induced (ENU)	15755804	MGI:3578169	7a6ex			MP:0003631,MP:0005374
MGI:3529537	8030411F24Rik<Gt(IRESBetageo)169Lex>	gene trap 169, Lexicon Genetics	Gene trapped		MGI:1925859	8030411F24Rik	NM_030135	ENSMUSG00000027444	
MGI:3528973	9130017C17Rik<tm1Lex>	targeted mutation 1, Lexicon Genetics	Targeted (Floxed/Frt)		MGI:1918857	9130017C17Rik	NM_027840	ENSMUSG00000031662	
MGI:3529189	9330151E16Rik<Gt(neo)67Lex>	gene trap 67, Lexicon Genetics	Gene trapped		MGI:2684848	9330151E16Rik	NM_001024926		
MGI:3578153	97c2	97c2 exencephaly	Chemically induced (ENU)	15755804	MGI:3578150	97c2			MP:0003631,MP:0005374
MGI:1855937	a	nonagouti	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005378,MP:0005393
MGI:2384104	a<10R>	nonagouti 10 Oak Ridge	Chemically induced (other)	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384105	a<11R>	nonagouti 11 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384107	a<13R>	nonagouti 13 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384108	a<14R>	nonagouti 14 Oak Ridge	Chemically induced (ENU)	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384109	a<15R>	nonagouti 15 Oak Ridge	Chemically induced (ENU)	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855950	a<16H>	nonagouti 16 Harwell	Chemically induced (ENU)	4065569	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1856404	a<18H>	nonagouti lethal 18 Harwell	Chemically and radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384121	a<1R>	nonagouti 1 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
