37,Muscle - Striated - Skeletal,C22696,Muscle - Striated - Skeletal
329,Muscle - Striated - Skeletal - Abdomen,000000,Muscle - Striated - Skeletal - Abdomen
91,Muscle - Striated - Skeletal - Diaphragm,C22698,Muscle - Striated - Skeletal - Diaphragm
352,Muscle - Striated - Skeletal - Diaphragm - Serosa,000000,Muscle - Striated - Skeletal - Diaphragm - Serosa
330,Muscle - Striated - Skeletal - Intercostal,000000,Muscle - Striated - Skeletal - Intercostal
311,Muscle - Striated - Skeletal - Limb,000000,Muscle - Striated - Skeletal - Limb
312,Muscle - Striated - Skeletal - Trunk,000000,Muscle - Striated - Skeletal - Trunk
255,Muzzle,000000,Muzzle
300,Myocardium,000000,Myocardium
107,Myoepitheliocyte,C22697,Myoepitheliocyte
348,Nail,000000,Nail
213,Neck,000000,Neck
149,Nerve,C22628,Nerve
217,Nerve - Trigeminal,000000,Nerve - Trigeminal
143,Neuroblast,C22630,Neuroblast
201,Neuroectoderm - Neural crest cell,000000,Neurectoderm - Neural crest cell
269,Nose,C22723,Nose
155,Nose - Nasal cavity,C22724,Nose - Nasal cavity
188,Nose - Nasal cavity - Nasal gland,C22725,Nose - Nasal cavity - Nasal gland
171,Nose - Nasal cavity - Olfactory cell,C22726,Nose - Nasal cavity - Olfactory cell
283,Nose - Nasal turbinate,000000,Nose - Nasal turbinate
52,Nose - Olfactory gland,C22727,Nose - Olfactory gland
14,Oral cavity,C22501,Oral cavity
60,Ovary,C22656,Ovary
89,Ovary - Germ cell,C22659,Ovary - Germ cell
80,Ovary - Granulosa cell,C22662,Ovary - Granulosa cell
274,Ovary - Hilus cell,000000,Ovary - Hilus cell
90,Ovary - Interstitial cell,C22663,Ovary - Interstitial cell
81,Ovary - Lutein cell,C22664,Ovary - Lutein cell
190,Ovary - Sertoli cell,C22665,Ovary - Sertoli cell
315,Ovary - Sex cord stromal cell,000000,Ovary - Sex cord stromal cell
168,Ovary - Theca cell,C22666,Ovary - Theca cell
135,Oviduct,C22667,Oviduct
28,Pancreas,C24044,Pancreas
198,Pancreas - Acinar cell,C22643,Pancreas - Acinar cell
257,Pancreas - Duct,C24045,Pancreas - Duct
323,Pancreas - Duct - Epidermis,000000,Pancreas - Duct - Epidermis
105,Pancreas - Islet of Langerhans,C22640,Pancreas - Islet of Langerhans
302,Pancreas - Islet of Langerhans - Alpha cell,C22641,Pancreas - Islet of Langerhans - Alpha cell
121,Pancreas - Islet of Langerhans - Beta cell,C22642,Pancreas - Islet of Langerhans - Beta cell
270,Paranasal sinus,000000,Paranasal sinus
251,Parathyroid gland,C22644,Parathyroid gland
233,Pelvis,000000,Pelvis
347,Penis,C22172,Penis
282,Pericardium,000000,Pericardium
110,Peritoneum,C22708,Peritoneum
77,Peritoneum - Mesentery,000000,Peritoneum - Mesentery
235,Peritoneum - Omentum,000000,Peritoneum - Omentum
277,Peritoneum - Parietal,000000,Peritoneum - Parietal
278,Peritoneum - Visceral,000000,Peritoneum - Visceral
148,Peyer's patch,C22562,Peyer's patch
106,Pineal gland,C22645,Pineal gland
58,Pituitary gland,C22646,Pituitary gland
167,Pituitary gland - pars anterior,C22647,Pituitary gland - pars anterior
122,Pituitary gland - pars distalis,C22649,Pituitary gland - pars distalis
101,Pituitary gland - pars intermedia,C22648,Pituitary gland - pars intermedia
326,Pituitary gland - pars intermedia - Melanotroph,000000,Pituitary gland - pars intermedia - Melanotroph
117,Placenta,C22668,Placenta
254,PNS - Nerve sheath,000000,PNS - Nerve sheath
248,PNS - Neuron - Ganglion - Paraganglion,000000,PNS - Neuron - Ganglion - Paraganglion
118,PNS - Schwann cell,C22632,PNS - Schwann cell
256,Prepuce,C22173,Prepuce
